,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
120,Peoplestown,33.7278848,-84.3852043,Buteco,33.72511829790324,-84.37712798935912,Coffee Shop
121,Peoplestown,33.7278848,-84.3852043,Yum's,33.72258434033923,-84.39297509171163,Chinese Restaurant
122,Peoplestown,33.7278848,-84.3852043,Summerhill,33.73374640267446,-84.38800477753975,Outdoors & Recreation
123,Peoplestown,33.7278848,-84.3852043,Phoenix Park II,33.73508755992699,-84.38228770557792,Track
124,Peoplestown,33.7278848,-84.3852043,J&J Fish & Chicken,33.72220773565451,-84.3929526637276,Seafood Restaurant
125,Peoplestown,33.7278848,-84.3852043,Bullpen Rib House,33.734944,-84.390909,BBQ Joint
126,Peoplestown,33.7278848,-84.3852043,Community Grounds,33.71902175495225,-84.38507173096667,Coffee Shop
127,Peoplestown,33.7278848,-84.3852043,Grant Park Hotel,33.733017,-84.391293,Hotel
128,Peoplestown,33.7278848,-84.3852043,Ormond Grant Park,33.7311241865868,-84.37700636239924,Playground
129,Peoplestown,33.7278848,-84.3852043,Subway,33.722902997577805,-84.39294102453867,Sandwich Place
130,Peoplestown,33.7278848,-84.3852043,Stadium Grocery,33.73200039931168,-84.38774818836117,Food & Drink Shop
131,Peoplestown,33.7278848,-84.3852043,Train Crossing,33.722363,-84.388156,Intersection
132,Peoplestown,33.7278848,-84.3852043,Hill Street Lofts Gym,33.722677,-84.380873,Gym
133,Peoplestown,33.7278848,-84.3852043,Sanctuary Wellness,33.722667599823644,-84.38035794022052,Health & Beauty Service
134,Peoplestown,33.7278848,-84.3852043,The Beacon,33.72593,-84.377336,Real Estate Office
135,Peoplestown,33.7278848,-84.3852043,Be Well Pilates & Yoga,33.72631264895303,-84.37720498564856,Yoga Studio
136,Peoplestown,33.7278848,-84.3852043,"Cafe Of Life, Yoga, Chiropractic Center",33.72607054840463,-84.3762988050779,Yoga Studio
137,Peoplestown,33.7278848,-84.3852043,Tire & Ride 24/7,33.72279356830731,-84.39284384000959,Auto Garage
138,Peoplestown,33.7278848,-84.3852043,Atlanta Beltline Corridor at Milton,33.71963777180413,-84.38483325679127,Trail
139,Peoplestown,33.7278848,-84.3852043,Cartoon Network's Tooner Field,33.736254583568986,-84.38858979668558,Baseball Field
140,Peoplestown,33.7278848,-84.3852043,Carver Neighborhood Market,33.71905551927218,-84.38504086168106,Grocery Store
141,Peoplestown,33.7278848,-84.3852043,Pryor liquor,33.72162224929026,-84.39296467484284,Liquor Store
142,Peoplestown,33.7278848,-84.3852043,Chevron,33.7224514389118,-84.39301691876129,Convenience Store
143,Peoplestown,33.7278848,-84.3852043,Wendy's,33.72182992730827,-84.39226537942886,Fast Food Restaurant
144,Adams Park,33.7144587,-84.4618943,Han's Chinese,33.72190479566546,-84.4654144735009,Chinese Restaurant
145,Adams Park,33.7144587,-84.4618943,The Beautiful Restaurant,33.72240161642197,-84.46270538619586,BBQ Joint
146,Adams Park,33.7144587,-84.4618943,Alfred Holmes Golf Course,33.711642277316045,-84.46703698287736,Golf Course
147,Adams Park,33.7144587,-84.4618943,Spice House,33.722747980449185,-84.46212474342502,Caribbean Restaurant
148,Adams Park,33.7144587,-84.4618943,Louisiana Seafood,33.72214379658252,-84.4639522419788,Seafood Restaurant
149,Adams Park,33.7144587,-84.4618943,Dream Wings,33.72217051924809,-84.4636855813168,Fast Food Restaurant
150,Adams Park,33.7144587,-84.4618943,Subway,33.706068316666666,-84.45896518333333,Sandwich Place
151,Adams Park,33.7144587,-84.4618943,atl wings,33.70558166503906,-84.46051788330078,Wings Joint
152,Adams Park,33.7144587,-84.4618943,Family Dollar,33.72202398687918,-84.46465422851927,Discount Store
153,Adams Park,33.7144587,-84.4618943,Big Daddy's Cafe,33.72210273413464,-84.46354654624095,Southern / Soul Food Restaurant
154,Adams Park,33.7144587,-84.4618943,Checkers,33.705792747670586,-84.46019153407292,Fast Food Restaurant
155,Adams Park,33.7144587,-84.4618943,JR Crickets Halftime,33.72156826264585,-84.46523196890044,American Restaurant
156,Adams Park,33.7144587,-84.4618943,Shell,33.722725,-84.46266719,Gas Station
157,Adams Park,33.7144587,-84.4618943,Adams Park,33.711639961108816,-84.467044508724,Park
158,Adams Park,33.7144587,-84.4618943,History On Video,33.718835,-84.458348,Business Service
159,Adams Park,33.7144587,-84.4618943,clean and care,33.722129,-84.463849,Dry Cleaner
160,Adams Park,33.7144587,-84.4618943,C&B Package,33.72231095088927,-84.46177386545057,Liquor Store
161,Adams Park,33.7144587,-84.4618943,China Cafeteria,33.70603194,-84.45932328701019,Chinese Restaurant
162,Campbellton Road,33.6989276,-84.4823359,Big Daddy's Kitchen,33.69379759640543,-84.48966920768093,Southern / Soul Food Restaurant
163,Campbellton Road,33.6989276,-84.4823359,Dollar General,33.69141,-84.48765,Discount Store
164,Campbellton Road,33.6989276,-84.4823359,Dollar Tree,33.69118413303497,-84.48772276552688,Discount Store
165,Campbellton Road,33.6989276,-84.4823359,American Sandwich,33.697519421018995,-84.48366004322635,Sandwich Place
166,Campbellton Road,33.6989276,-84.4823359,Hott Chixx Wings ATL,33.700614,-84.480496,Wings Joint
167,Campbellton Road,33.6989276,-84.4823359,Alex's Package Store,33.69614255689371,-84.48665203764027,Liquor Store
168,Campbellton Road,33.6989276,-84.4823359,Club 291,33.69638594114924,-84.48732556742232,Lounge
169,Campbellton Road,33.6989276,-84.4823359,GB Discount Mall,33.69128557499979,-84.48713014578007,Accessories Store
170,Campbellton Road,33.6989276,-84.4823359,Big Oomp Record Store,33.70223538129477,-84.4756977227058,Record Shop
171,Campbellton Road,33.6989276,-84.4823359,JJ's Rib Shack,33.696534861944514,-84.48568397279018,BBQ Joint
172,Campbellton Road,33.6989276,-84.4823359,PO Freddie's Barbecue,33.702761,-84.473729,Food
173,Greenbriar,33.6824236,-84.4933758,Planet Fitness,33.68705340888352,-84.4915641001312,Gym / Fitness Center
174,Greenbriar,33.6824236,-84.4933758,PNC Bank,33.6877868,-84.4934528,Bank
175,Greenbriar,33.6824236,-84.4933758,Dollar Tree,33.68765641563713,-84.49453871190478,Discount Store
176,Greenbriar,33.6824236,-84.4933758,Chase Bank,33.689203,-84.488013,Bank
177,Greenbriar,33.6824236,-84.4933758,Payless ShoeSource,33.68834921,-84.49338843,Shoe Store
178,Greenbriar,33.6824236,-84.4933758,Wendy's,33.68989741905461,-84.48829381610267,Fast Food Restaurant
179,Greenbriar,33.6824236,-84.4933758,Macy's,33.688881,-84.491383,Department Store
180,Greenbriar,33.6824236,-84.4933758,Chick-fil-A,33.688744,-84.493282,Fast Food Restaurant
181,Greenbriar,33.6824236,-84.4933758,Piccadilly Cafeteria,33.68873766350638,-84.4945111479385,Southern / Soul Food Restaurant
182,Greenbriar,33.6824236,-84.4933758,Subway,33.68794967835563,-84.48740285836655,Sandwich Place
183,Greenbriar,33.6824236,-84.4933758,Lids,33.688722,-84.492809,Accessories Store
184,Greenbriar,33.6824236,-84.4933758,Han's II,33.688372080998704,-84.48859721887544,Chinese Restaurant
185,Greenbriar,33.6824236,-84.4933758,Little Caesars Pizza,33.68797875190287,-84.48736549881876,Pizza Place
186,Greenbriar,33.6824236,-84.4933758,Great American Cookies,33.688512,-84.493422,Bakery
187,Greenbriar,33.6824236,-84.4933758,House of Hoops by Foot Locker,33.688692,-84.493713,Clothing Store
188,Greenbriar,33.6824236,-84.4933758,Checkers,33.6904946220534,-84.48944795337297,Fast Food Restaurant
189,Greenbriar,33.6824236,-84.4933758,CVS pharmacy,33.68865221806554,-84.48788306717674,Pharmacy
190,Greenbriar,33.6824236,-84.4933758,Kroger,33.6868364,-84.4875542,Supermarket
191,Greenbriar,33.6824236,-84.4933758,Cascade Club,33.6853655874262,-84.4910711690321,Event Space
192,Greenbriar,33.6824236,-84.4933758,Super Beauty,33.68915784842179,-84.49478053974852,Cosmetics Shop
193,Greenbriar,33.6824236,-84.4933758,Green Apple Food Mart,33.68613425734902,-84.4926611797694,Convenience Store
194,Greenbriar,33.6824236,-84.4933758,KFC,33.68759441123065,-84.48967993248573,Fried Chicken Joint
195,Greenbriar,33.6824236,-84.4933758,Savvi Formalwear,33.688722768288564,-84.49334760677499,Bridal Shop
196,Greenbriar,33.6824236,-84.4933758,Food Court Greenbriar Mall,33.688846588134766,-84.49322509765625,Food Court
197,Greenbriar,33.6824236,-84.4933758,Prime Deli,33.68887418012089,-84.49326796693526,American Restaurant
