,NPU,"Count, Total population, 2015","Median, Median age (years), 2015","Median, Median value of owner-occupied unit (dollars), 2015","Median, Median gross rent (dollars), 2015","Median, Median household Income, 2015","Percent, Public transportation (excluding taxicab) to work, 2015","Percent, Walked to work, 2015","Percent, Other means to work, 2015",Crime Count,Neighborhood,Location,Coordinate
26,NPU E,3246,32.6,525000.0,872.0,43228.0,3.1,3.6,1.8,587,Brookwood Hills,"232 Parkdale Way NE, Atlanta, GA 30309, USA","(33.8067961, -84.3899131)"
27,NPU E,8271,20.4,201400.0,1176.0,34818.0,6.4,38.8,3.2,587,Georgia Tech,"North Ave NW, Atlanta, GA 30332, USA","(33.7756178, -84.39628499999999)"
28,NPU E,5420,24.1,211485.0,1248.0,44207.0,4.8,22.5,4.1,587,Home Park,"Home Park, Atlanta, GA, USA","(33.7845319, -84.402823)"
29,NPU E,17881,34.9,251828.0,1129.0,72653.0,6.9,13.0,3.8,587,Midtown,"Midtown Atlanta, Atlanta, GA, USA","(33.783315, -84.3831166)"
30,NPU C,2618,50.6,978099.0,1810.0,175140.0,1.3,0.3,0.9,107,Arden/Habersham,"Arden/Habersham, Atlanta, GA 30305, USA","(33.8383598, -84.400194)"
31,NPU C,3409,46.0,676455.0,403.0,100028.0,0.0,1.8,0.0,107,Brandon,"Brandon, Atlanta, GA, USA","(33.8309637, -84.4212057)"
32,NPU C,4221,32.0,606131.0,1222.0,106681.0,1.4,0.0,0.3,107,Channing Valley,"Channing Valley, Atlanta, GA 30318, USA","(33.8061087, -84.4100442)"
33,NPU C,2806,34.3,309739.0,1128.0,62494.0,4.5,1.0,0.5,107,Collier Hills,"Collier Hills, Atlanta, GA, USA","(33.807988, -84.4054477)"
34,NPU C,2637,33.9,135474.0,1170.0,63220.0,0.5,0.7,0.0,107,Cross Creek,"Cross Creek, Atlanta, GA, USA","(33.8171685, -84.4238316)"
35,NPU C,2535,38.1,278537.0,1142.0,94615.0,1.6,0.9,0.0,107,Fernleaf,"Fernleaf, Atlanta, GA 30318, USA","(33.8211423, -84.44253789999999)"
36,NPU P,4265,37.1,108239.0,1024.0,40642.0,10.3,1.3,1.2,123,Arlington Estates,"Arlington Estates, Atlanta, GA 30331, USA","(33.6915398, -84.5418765)"
37,NPU P,2982,30.9,151681.0,851.0,41935.0,20.5,0.3,2.1,123,Ashley Courts,"Ashley Courts, Atlanta, GA 30331, USA","(33.7193792, -84.5254956)"
38,NPU P,3313,32.5,102303.0,935.0,47645.0,14.1,0.9,0.6,123,Ben Hill Acres,"Ben Hill Acres, Atlanta, GA 30331, USA","(33.6956061, -84.50779910000001)"
